2023-05-28T17:20:32.368899411Z Service `hwdrivers' needs non existent service `dev'
2023-05-28T17:20:32.368933605Z Service `machine-id' needs non existent service `dev'
2023-05-28T17:20:32.369161483Z  * Caching service dependencies ... [ ok ]
2023-05-28T17:20:32.371447352Z Runlevel: sysinit
2023-05-28T17:20:32.371460357Z Dynamic Runlevel: hotplugged
2023-05-28T17:20:32.371463222Z Dynamic Runlevel: needed/wanted
2023-05-28T17:20:32.371465697Z Dynamic Runlevel: manual
2023-05-28T17:20:32.376876629Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/blkio/tasks: Read-only file system
2023-05-28T17:20:32.376887920Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpu/tasks: Read-only file system
2023-05-28T17:20:32.376890114Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuacct/tasks: Read-only file system
2023-05-28T17:20:32.376892058Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuset/tasks: Read-only file system
2023-05-28T17:20:32.376894903Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/devices/tasks: Read-only file system
2023-05-28T17:20:32.376897398Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/freezer/tasks: Read-only file system
2023-05-28T17:20:32.376918930Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/hugetlb/tasks: Read-only file system
2023-05-28T17:20:32.376947844Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/memory/tasks: Read-only file system
2023-05-28T17:20:32.376953004Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_cls/tasks: Read-only file system
2023-05-28T17:20:32.376955769Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_prio/tasks: Read-only file system
2023-05-28T17:20:32.376961410Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/perf_event/tasks: Read-only file system
2023-05-28T17:20:32.376964265Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/pids/tasks: Read-only file system
2023-05-28T17:20:32.376966960Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/rdma/tasks: Read-only file system
2023-05-28T17:20:32.376969395Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/systemd/tasks: Read-only file system
2023-05-28T17:20:32.493030537Z  * Starting sshd ... [ ok ]
2023-05-28T17:20:42.538150137Z [IOT][2023-05-28 17:20:42,537][INFO] starting...
2023-05-28T17:24:46.629536551Z [WORM][2023-05-28 17:24:46,629][INFO] fetching info...
2023-05-28T17:24:46.629734948Z [WORM][2023-05-28 17:24:46,629][INFO] fetching info...
2023-05-28T17:24:46.629873227Z [WORM][2023-05-28 17:24:46,629][INFO] fetching info...
2023-05-28T17:24:46.630058254Z [WORM][2023-05-28 17:24:46,629][INFO] fetching info...
2023-05-28T17:24:46.630211190Z [WORM][2023-05-28 17:24:46,630][INFO] fetching info...
2023-05-28T17:24:46.630353869Z [WORM][2023-05-28 17:24:46,630][INFO] fetching info...
2023-05-28T17:24:46.630564775Z [WORM][2023-05-28 17:24:46,630][INFO] fetching info...
2023-05-28T17:24:46.630689308Z [WORM][2023-05-28 17:24:46,630][INFO] fetching info...
2023-05-28T17:24:46.630879356Z [WORM][2023-05-28 17:24:46,630][INFO] fetching info...
2023-05-28T17:24:46.631007501Z [WORM][2023-05-28 17:24:46,630][INFO] fetching info...
2023-05-28T17:24:46.631163038Z [WORM][2023-05-28 17:24:46,631][INFO] fetching info...
2023-05-28T17:24:46.631332355Z [WORM][2023-05-28 17:24:46,631][INFO] fetching info...
2023-05-28T17:24:46.631463282Z [WORM][2023-05-28 17:24:46,631][INFO] fetching info...
2023-05-28T17:24:46.631613382Z [WORM][2023-05-28 17:24:46,631][INFO] fetching info...
2023-05-28T17:24:46.631797308Z [WORM][2023-05-28 17:24:46,631][INFO] fetching info...
2023-05-28T17:24:46.632011320Z [WORM][2023-05-28 17:24:46,631][INFO] fetching info...
2023-05-28T17:24:46.632143828Z [WORM][2023-05-28 17:24:46,632][INFO] fetching info...
2023-05-28T17:24:46.632326672Z [WORM][2023-05-28 17:24:46,632][INFO] fetching info...
2023-05-28T17:24:46.632461424Z [WORM][2023-05-28 17:24:46,632][INFO] fetching info...
2023-05-28T17:24:46.632625212Z [WORM][2023-05-28 17:24:46,632][INFO] fetching info...
2023-05-28T17:24:46.632822071Z [WORM][2023-05-28 17:24:46,632][INFO] fetching info...
2023-05-28T17:24:46.633016346Z [WORM][2023-05-28 17:24:46,632][INFO] scanning...
2023-05-28T17:24:47.653572769Z Agent starting...
2023-05-28T17:24:47.653613325Z Running mode selected...
2023-05-28T17:24:47.653617263Z got SIGUSR1
2023-05-28T17:24:47.653622092Z got SIGUSR1
2023-05-28T17:24:47.653625268Z got SIGUSR2
2023-05-28T17:24:47.653628474Z got SIGUSR2
2023-05-28T17:24:47.653632191Z got SIGUSR2
2023-05-28T17:24:47.653634886Z got SIGUSR2
2023-05-28T17:24:47.653638312Z got SIGUSR2
2023-05-28T17:24:47.653641658Z got SIGUSR2
2023-05-28T17:24:47.653644704Z got SIGUSR2
2023-05-28T17:24:47.653647449Z got SIGUSR2
2023-05-28T17:24:47.653650445Z got SIGUSR2
2023-05-28T17:24:47.653653671Z got SIGUSR2
2023-05-28T17:24:47.653657087Z got SIGUSR2
2023-05-28T17:24:47.653662257Z got SIGUSR2
2023-05-28T17:24:47.653665253Z got SIGUSR2
2023-05-28T17:24:47.653668208Z got SIGUSR2
2023-05-28T17:24:47.653679039Z got SIGUSR2
2023-05-28T17:24:47.653682305Z got SIGUSR2
2023-05-28T17:24:47.653684910Z got SIGUSR2
2023-05-28T17:24:47.653687504Z got SIGUSR2
2023-05-28T17:24:47.653690590Z got SIGUSR2
2023-05-28T17:24:47.653692985Z got SIGUSR2
2023-05-28T17:24:47.653695870Z got SIGUSR2
2023-05-28T17:24:47.653698565Z got SIGUSR2
2023-05-28T17:24:47.653701060Z got SIGUSR2
2023-05-28T17:24:47.653703825Z {'timestr': 'Sun May 28 17:21:50 2023', 'elapsed': '1.81', 'uphosts': '1', 'downhosts': '5', 'totalhosts': '6'}
2023-05-28T17:24:47.653707783Z {'hostnames': [{'name': '', 'type': ''}], 'addresses': {'ipv4': '10.0.0.1', 'mac': '02:42:B3:AC:49:FB'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'arp-response'}, 'tcp': {22: {'state': 'closed', 'reason': 'reset', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}
2023-05-28T17:24:47.653712231Z got SIGUSR2
2023-05-28T17:24:47.653715657Z got SIGUSR2
2023-05-28T17:24:47.653718743Z got SIGUSR2
2023-05-28T17:24:47.653721999Z got SIGUSR2
2023-05-28T17:24:47.653725406Z got SIGUSR2
2023-05-28T17:24:47.653727830Z got SIGUSR2
2023-05-28T17:24:47.653730766Z got SIGUSR2
2023-05-28T17:24:47.653733942Z got SIGUSR2
2023-05-28T17:24:47.653736977Z got SIGUSR2
2023-05-28T17:24:47.653739773Z got SIGUSR2
2023-05-28T17:24:47.653742327Z got SIGUSR2
2023-05-28T17:24:47.653745353Z got SIGUSR2
2023-05-28T17:24:47.653748258Z got SIGUSR2
2023-05-28T17:24:47.653750903Z got SIGUSR2
2023-05-28T17:24:47.653753619Z got SIGUSR2
2023-05-28T17:24:47.653756133Z got SIGUSR2
2023-05-28T17:24:47.653758688Z got SIGUSR2
2023-05-28T17:24:47.653761593Z got SIGUSR2
2023-05-28T17:24:47.653764679Z got SIGUSR2
2023-05-28T17:24:47.653767805Z got SIGUSR2
2023-05-28T17:24:47.653770951Z {'timestr': 'Sun May 28 17:22:06 2023', 'elapsed': '1.95', 'uphosts': '1', 'downhosts': '5', 'totalhosts': '6'}
2023-05-28T17:24:47.653775089Z {'hostnames': [{'name': '07c5ee7b2faa', 'type': 'PTR'}], 'addresses': {'ipv4': '10.0.0.11'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'localhost-response'}, 'tcp': {22: {'state': 'open', 'reason': 'syn-ack', 'name': 'ssh', 'product': 'OpenSSH', 'version': '9.1', 'extrainfo': 'protocol 2.0', 'conf': '10', 'cpe': 'cpe:/a:openbsd:openssh:9.1'}}}
2023-05-28T17:24:47.653779026Z got SIGUSR2
2023-05-28T17:24:47.653781621Z got SIGUSR2
2023-05-28T17:24:47.653784817Z got SIGUSR2
2023-05-28T17:24:47.653788594Z got SIGUSR2
2023-05-28T17:24:47.653791429Z got SIGUSR2
2023-05-28T17:24:47.653794285Z got SIGUSR2
2023-05-28T17:24:47.653797070Z got SIGUSR2
2023-05-28T17:24:47.653803733Z got SIGUSR2
2023-05-28T17:24:47.653806999Z got SIGUSR2
2023-05-28T17:24:47.653810074Z got SIGUSR2
2023-05-28T17:24:47.653813311Z got SIGUSR2
2023-05-28T17:24:47.653816426Z got SIGUSR2
2023-05-28T17:24:47.653819412Z got SIGUSR2
2023-05-28T17:24:47.653822327Z got SIGUSR2
2023-05-28T17:24:47.653825413Z got SIGUSR2
2023-05-28T17:24:47.653828439Z got SIGUSR2
2023-05-28T17:24:47.653830974Z got SIGUSR2
2023-05-28T17:24:47.653833468Z got SIGUSR2
2023-05-28T17:24:47.653836494Z got SIGUSR2
2023-05-28T17:24:47.653839930Z got SIGUSR2
2023-05-28T17:24:47.653843317Z {'timestr': 'Sun May 28 17:22:22 2023', 'elapsed': '1.90', 'uphosts': '2', 'downhosts': '4', 'totalhosts': '6'}
2023-05-28T17:24:47.653848426Z {'hostnames': [{'name': '07c5ee7b2faa', 'type': 'PTR'}], 'addresses': {'ipv4': '10.0.0.11'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'localhost-response'}, 'tcp': {22: {'state': 'open', 'reason': 'syn-ack', 'name': 'ssh', 'product': 'OpenSSH', 'version': '9.1', 'extrainfo': 'protocol 2.0', 'conf': '10', 'cpe': 'cpe:/a:openbsd:openssh:9.1'}}}
2023-05-28T17:24:47.653852474Z {'hostnames': [{'name': 'mgr-honeypot-1.mgr_netw', 'type': 'PTR'}], 'addresses': {'ipv4': '10.0.0.15', 'mac': '02:42:0A:00:00:0F'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'arp-response'}, 'tcp': {22: {'state': 'closed', 'reason': 'reset', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}
2023-05-28T17:24:47.653856341Z got SIGUSR2
2023-05-28T17:24:47.653859868Z got SIGUSR2
2023-05-28T17:24:47.653863144Z got SIGUSR2
2023-05-28T17:24:47.653866520Z got SIGUSR2
2023-05-28T17:24:47.653869696Z {'timestr': 'Sun May 28 17:22:24 2023', 'elapsed': '1.73', 'uphosts': '0', 'downhosts': '6', 'totalhosts': '6'}
2023-05-28T17:24:47.653922605Z === res=[] ===
2023-05-28T17:24:47.653928687Z === sending to /worm ===
2023-05-28T17:24:47.653931953Z === load sent ===
2023-05-28T17:24:47.653934808Z preceding
2023-05-28T17:24:47.653937674Z preceding
2023-05-28T17:24:47.653940699Z preceding
2023-05-28T17:24:47.653943685Z preceding
2023-05-28T17:24:47.653946691Z preceding
2023-05-28T17:24:47.653949706Z preceding
2023-05-28T17:24:47.653953333Z preceding
2023-05-28T17:24:47.653956489Z preceding
2023-05-28T17:24:47.653960246Z preceding
2023-05-28T17:24:47.653963011Z preceding
2023-05-28T17:24:47.654036519Z preceding
2023-05-28T17:24:47.654238899Z preceding
2023-05-28T17:24:47.654369805Z preceding
2023-05-28T17:24:47.654403428Z preceding
2023-05-28T17:24:47.654436019Z preceding
2023-05-28T17:24:47.654688503Z preceding
2023-05-28T17:24:47.654795223Z got SIGUSR2
2023-05-28T17:24:47.654804400Z got SIGUSR2
2023-05-28T17:24:47.655072754Z got SIGUSR2
2023-05-28T17:24:47.655092841Z got SIGUSR2
2023-05-28T17:24:47.655175286Z got SIGUSR2
2023-05-28T17:24:47.655180366Z got SIGUSR2
2023-05-28T17:24:47.655182931Z got SIGUSR2
2023-05-28T17:24:47.655185726Z got SIGUSR2
2023-05-28T17:24:47.655188511Z got SIGUSR2
2023-05-28T17:24:47.655191296Z got SIGUSR2
2023-05-28T17:24:47.655194763Z got SIGUSR2
2023-05-28T17:24:47.655233025Z got SIGUSR2
2023-05-28T17:24:47.655252291Z got SIGUSR2
2023-05-28T17:24:47.655256408Z got SIGUSR2
2023-05-28T17:24:47.655259003Z got SIGUSR2
2023-05-28T17:24:47.655261859Z got SIGUSR2
2023-05-28T17:24:47.655488905Z got SIGUSR2
2023-05-28T17:24:47.655540091Z got SIGUSR2
2023-05-28T17:24:47.655546232Z preceding
2023-05-28T17:24:47.655550570Z got SIGUSR2
2023-05-28T17:24:47.655553746Z got SIGUSR2
2023-05-28T17:24:47.655556592Z got SIGUSR2
2023-05-28T17:24:47.655559828Z got SIGUSR2
2023-05-28T17:24:47.655562864Z got SIGUSR2
2023-05-28T17:24:47.655565979Z got SIGUSR2
2023-05-28T17:24:47.655569857Z got SIGUSR2
2023-05-28T17:24:47.655572862Z got SIGUSR2
2023-05-28T17:24:47.655576008Z got SIGUSR2
2023-05-28T17:24:47.655578884Z got SIGUSR2
2023-05-28T17:24:47.655582661Z got SIGUSR2
2023-05-28T17:24:47.655585496Z got SIGUSR2
2023-05-28T17:24:47.655588181Z got SIGUSR2
2023-05-28T17:24:47.655590826Z got SIGUSR2
2023-05-28T17:24:47.655593461Z got SIGUSR2
2023-05-28T17:24:47.655596086Z got SIGUSR2
2023-05-28T17:24:47.655598741Z got SIGUSR2
2023-05-28T17:24:47.655601286Z got SIGUSR2
2023-05-28T17:24:47.655603870Z got SIGUSR2
2023-05-28T17:24:47.655606495Z got SIGUSR2
2023-05-28T17:24:47.655609090Z got SIGUSR2
2023-05-28T17:24:47.655611735Z got SIGUSR2
2023-05-28T17:24:47.655614290Z got SIGUSR2
2023-05-28T17:24:47.655617456Z got SIGUSR2
2023-05-28T17:24:47.655620412Z got SIGUSR2
2023-05-28T17:24:47.655622926Z got SIGUSR2
2023-05-28T17:24:47.655624379Z got SIGUSR2
2023-05-28T17:24:47.655625832Z got SIGUSR2
2023-05-28T17:24:47.655627465Z got SIGUSR2
2023-05-28T17:24:47.655629188Z got SIGUSR2
2023-05-28T17:24:47.655636722Z got SIGUSR2
2023-05-28T17:24:47.655638335Z got SIGUSR2
2023-05-28T17:24:47.655641140Z got SIGUSR2
2023-05-28T17:24:47.655644116Z got SIGUSR2
2023-05-28T17:24:47.655647072Z got SIGUSR2
2023-05-28T17:24:47.655710681Z got SIGUSR2
2023-05-28T17:24:47.655718375Z got SIGUSR2
2023-05-28T17:24:47.655800359Z got SIGUSR2
2023-05-28T17:24:47.656001557Z got SIGUSR2
2023-05-28T17:24:47.656158231Z got SIGUSR2
2023-05-28T17:24:47.656228278Z got SIGUSR2
2023-05-28T17:24:47.656261751Z got SIGUSR2
2023-05-28T17:24:47.656297227Z preceding
2023-05-28T17:24:47.656303138Z preceding
2023-05-28T17:24:47.656306374Z preceding
2023-05-28T17:24:47.656309460Z preceding
2023-05-28T17:24:47.656312686Z preceding
2023-05-28T17:24:47.656315962Z preceding
2023-05-28T17:24:47.656349248Z got SIGUSR2
2023-05-28T17:24:47.656370788Z {'timestr': 'Sun May 28 17:23:08 2023', 'elapsed': '1.78', 'uphosts': '1', 'downhosts': '5', 'totalhosts': '6'}
2023-05-28T17:24:47.656377150Z {'hostnames': [{'name': '', 'type': ''}], 'addresses': {'ipv4': '10.0.0.25', 'mac': '02:42:0A:00:00:0F'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'arp-response'}, 'tcp': {22: {'state': 'closed', 'reason': 'reset', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}
2023-05-28T17:24:47.656381488Z preceding
2023-05-28T17:24:47.656384724Z preceding
2023-05-28T17:24:47.656388101Z preceding
2023-05-28T17:24:47.656390936Z preceding
2023-05-28T17:24:47.656457723Z preceding
2023-05-28T17:24:47.656552000Z preceding
2023-05-28T17:24:47.656695700Z preceding
2023-05-28T17:24:47.656785348Z preceding
2023-05-28T17:24:47.656891407Z preceding
2023-05-28T17:24:47.656934708Z preceding
2023-05-28T17:24:47.656989411Z preceding
2023-05-28T17:24:47.657069742Z preceding
2023-05-28T17:24:47.657112842Z preceding
2023-05-28T17:24:47.657163818Z preceding
2023-05-28T17:24:47.657228980Z preceding
2023-05-28T17:24:47.657243498Z preceding
2023-05-28T17:24:47.657274235Z got SIGUSR2
2023-05-28T17:24:47.657278423Z got SIGUSR2
2023-05-28T17:24:47.657281348Z got SIGUSR2
2023-05-28T17:24:47.657284224Z got SIGUSR2
2023-05-28T17:24:47.657287149Z {'timestr': 'Sun May 28 17:23:09 2023', 'elapsed': '1.75', 'uphosts': '0', 'downhosts': '6', 'totalhosts': '6'}
2023-05-28T17:24:47.657290315Z preceding
2023-05-28T17:24:47.657293040Z preceding
2023-05-28T17:24:47.657295876Z preceding
2023-05-28T17:24:47.657315462Z preceding
2023-05-28T17:24:47.657325812Z preceding
2023-05-28T17:24:47.657328958Z preceding
2023-05-28T17:24:47.657332364Z preceding
2023-05-28T17:24:47.657335220Z preceding
2023-05-28T17:24:47.657338396Z preceding
2023-05-28T17:24:47.657340960Z got SIGUSR2
2023-05-28T17:24:47.657343665Z got SIGUSR2
2023-05-28T17:24:47.657350238Z got SIGUSR2
2023-05-28T17:24:47.657353444Z got SIGUSR2
2023-05-28T17:24:47.657356660Z {'timestr': 'Sun May 28 17:23:11 2023', 'elapsed': '1.70', 'uphosts': '0', 'downhosts': '6', 'totalhosts': '6'}
2023-05-28T17:24:47.657360617Z preceding
2023-05-28T17:24:47.657364124Z preceding
2023-05-28T17:24:47.657411673Z preceding
2023-05-28T17:24:47.657419918Z preceding
2023-05-28T17:24:47.657423625Z preceding
2023-05-28T17:24:47.657426561Z preceding
2023-05-28T17:24:47.657429476Z preceding
2023-05-28T17:24:47.657432302Z preceding
2023-05-28T17:24:47.657435438Z preceding
2023-05-28T17:24:47.657438143Z preceding
2023-05-28T17:24:47.657441429Z preceding
2023-05-28T17:24:47.657444364Z preceding
2023-05-28T17:24:47.657446809Z preceding
2023-05-28T17:24:47.657449544Z preceding
2023-05-28T17:24:47.657452389Z preceding
2023-05-28T17:24:47.657456036Z preceding
2023-05-28T17:24:47.657459212Z preceding
2023-05-28T17:24:47.657462358Z preceding
2023-05-28T17:24:47.657465484Z preceding
2023-05-28T17:24:47.657468590Z preceding
2023-05-28T17:24:47.657471415Z preceding
2023-05-28T17:24:47.657474741Z preceding
2023-05-28T17:24:47.657477697Z got SIGUSR2
2023-05-28T17:24:47.657480652Z got SIGUSR2
2023-05-28T17:24:47.657483678Z got SIGUSR2
2023-05-28T17:24:47.657486473Z got SIGUSR2
2023-05-28T17:24:47.657519786Z {'timestr': 'Sun May 28 17:23:13 2023', 'elapsed': '1.71', 'uphosts': '0', 'downhosts': '6', 'totalhosts': '6'}
2023-05-28T17:24:47.657527501Z preceding
2023-05-28T17:24:47.657530557Z preceding
2023-05-28T17:24:47.657534244Z preceding
2023-05-28T17:24:47.657537229Z preceding
2023-05-28T17:24:47.657540265Z preceding
2023-05-28T17:24:47.657543521Z preceding
2023-05-28T17:24:47.657546366Z preceding
2023-05-28T17:24:47.657548831Z preceding
2023-05-28T17:24:47.657550995Z preceding
2023-05-28T17:24:47.657553961Z preceding
2023-05-28T17:24:47.657606439Z preceding
2023-05-28T17:24:47.657611919Z preceding
2023-05-28T17:24:47.657615135Z got SIGUSR2
2023-05-28T17:24:47.657618000Z got SIGUSR2
2023-05-28T17:24:47.657622118Z got SIGUSR2
2023-05-28T17:24:47.657625284Z got SIGUSR2
2023-05-28T17:24:47.657629171Z got SIGUSR2
2023-05-28T17:24:47.657632517Z got SIGUSR2
2023-05-28T17:24:47.657647636Z got SIGUSR2
2023-05-28T17:24:47.657651182Z got SIGUSR2
2023-05-28T17:24:47.657666401Z got SIGUSR2
2023-05-28T17:24:47.657669898Z got SIGUSR2
2023-05-28T17:24:47.657740139Z got SIGUSR2
2023-05-28T17:24:47.657746602Z got SIGUSR2
2023-05-28T17:24:47.657749948Z got SIGUSR2
2023-05-28T17:24:47.657752963Z got SIGUSR2
2023-05-28T17:24:47.657755919Z got SIGUSR2
2023-05-28T17:24:47.657758865Z got SIGUSR2
2023-05-28T17:24:47.657796044Z got SIGUSR2
2023-05-28T17:24:47.657800683Z got SIGUSR2
2023-05-28T17:24:47.657803669Z got SIGUSR2
2023-05-28T17:24:47.657806825Z got SIGUSR2
2023-05-28T17:24:47.657809760Z got SIGUSR2
2023-05-28T17:24:47.657919146Z got SIGUSR2
2023-05-28T17:24:47.657941989Z got SIGUSR2
2023-05-28T17:24:47.657948291Z got SIGUSR2
2023-05-28T17:24:47.657951256Z got SIGUSR2
2023-05-28T17:24:47.657953110Z got SIGUSR2
2023-05-28T17:24:47.657954703Z got SIGUSR2
2023-05-28T17:24:47.657956346Z got SIGUSR2
2023-05-28T17:24:47.657957748Z got SIGUSR2
2023-05-28T17:24:47.657959201Z got SIGUSR2
2023-05-28T17:24:47.657960744Z got SIGUSR2
2023-05-28T17:24:47.657962627Z got SIGUSR2
2023-05-28T17:24:47.657984388Z preceding
2023-05-28T17:24:47.657993926Z got SIGUSR2
2023-05-28T17:24:47.657997202Z got SIGUSR2
2023-05-28T17:24:47.657999987Z got SIGUSR2
2023-05-28T17:24:47.658002722Z got SIGUSR2
2023-05-28T17:24:47.658005487Z got SIGUSR2
2023-05-28T17:24:47.658008142Z got SIGUSR2
2023-05-28T17:24:47.658010888Z got SIGUSR2
2023-05-28T17:24:47.658013613Z got SIGUSR2
2023-05-28T17:24:47.658016268Z got SIGUSR2
2023-05-28T17:24:47.658018943Z got SIGUSR2
2023-05-28T17:24:47.658021578Z got SIGUSR2
2023-05-28T17:24:47.658024223Z got SIGUSR2
2023-05-28T17:24:47.658027409Z got SIGUSR2
2023-05-28T17:24:47.658031246Z got SIGUSR2
2023-05-28T17:24:47.658034281Z got SIGUSR2
2023-05-28T17:24:47.658097961Z got SIGUSR2
2023-05-28T17:24:47.658105806Z got SIGUSR2
2023-05-28T17:24:47.658109823Z got SIGUSR2
2023-05-28T17:24:47.658113139Z got SIGUSR2
2023-05-28T17:24:47.658116315Z got SIGUSR2
2023-05-28T17:24:47.658119501Z got SIGUSR2
2023-05-28T17:24:47.658129791Z got SIGUSR2
2023-05-28T17:24:47.658133458Z got SIGUSR2
2023-05-28T17:24:47.658136403Z got SIGUSR2
2023-05-28T17:24:47.658139248Z got SIGUSR2
2023-05-28T17:24:47.658142124Z got SIGUSR2
2023-05-28T17:24:47.658144909Z got SIGUSR2
2023-05-28T17:24:47.658148125Z got SIGUSR2
2023-05-28T17:24:47.658151241Z got SIGUSR2
2023-05-28T17:24:47.658154227Z got SIGUSR2
2023-05-28T17:24:47.658157152Z got SIGUSR2
2023-05-28T17:24:47.658160408Z got SIGUSR2
2023-05-28T17:24:47.658163644Z got SIGUSR2
2023-05-28T17:24:47.658166630Z preceding
2023-05-28T17:24:47.658169856Z preceding
2023-05-28T17:24:47.658172691Z got SIGUSR2
2023-05-28T17:24:47.658175587Z got SIGUSR2
2023-05-28T17:24:47.658178312Z got SIGUSR2
2023-05-28T17:24:47.658181237Z got SIGUSR2
2023-05-28T17:24:47.658184012Z got SIGUSR2
2023-05-28T17:24:47.658186627Z got SIGUSR2
2023-05-28T17:24:47.658189352Z got SIGUSR2
2023-05-28T17:24:47.658191997Z got SIGUSR2
2023-05-28T17:24:47.658194642Z got SIGUSR2
2023-05-28T17:24:47.658197277Z got SIGUSR2
2023-05-28T17:24:47.658199912Z got SIGUSR2
2023-05-28T17:24:47.658202748Z got SIGUSR2
2023-05-28T17:24:47.658207216Z got SIGUSR2
2023-05-28T17:24:47.658210272Z got SIGUSR2
2023-05-28T17:24:47.658213247Z got SIGUSR2
2023-05-28T17:24:47.658216213Z got SIGUSR2
2023-05-28T17:24:47.658219539Z got SIGUSR2
2023-05-28T17:24:47.658222895Z preceding
2023-05-28T17:24:47.658226612Z got SIGUSR2
2023-05-28T17:24:47.658230039Z got SIGUSR2
2023-05-28T17:24:47.658233165Z got SIGUSR2
2023-05-28T17:24:47.658236080Z got SIGUSR2
2023-05-28T17:24:47.658239106Z got SIGUSR2
2023-05-28T17:24:47.658242452Z got SIGUSR2
2023-05-28T17:24:47.658245588Z got SIGUSR2
2023-05-28T17:24:47.658249355Z got SIGUSR2
2023-05-28T17:24:47.658252541Z got SIGUSR2
2023-05-28T17:24:47.658255677Z got SIGUSR2
2023-05-28T17:24:47.658258362Z got SIGUSR2
2023-05-28T17:24:47.658261798Z got SIGUSR2
2023-05-28T17:24:47.658265105Z got SIGUSR2
2023-05-28T17:24:47.658305240Z got SIGUSR2
2023-05-28T17:24:47.658310179Z got SIGUSR2
2023-05-28T17:24:47.658313756Z got SIGUSR2
2023-05-28T17:24:47.658316721Z got SIGUSR2
2023-05-28T17:24:47.658319877Z got SIGUSR2
2023-05-28T17:24:47.658322973Z got SIGUSR2
2023-05-28T17:24:47.658325718Z preceding
2023-05-28T17:24:47.658328313Z preceding
2023-05-28T17:24:47.658331299Z got SIGUSR2
2023-05-28T17:24:47.658334194Z got SIGUSR2
2023-05-28T17:24:47.658337080Z {'timestr': 'Sun May 28 17:24:39 2023', 'elapsed': '1.70', 'uphosts': '0', 'downhosts': '6', 'totalhosts': '6'}
2023-05-28T17:24:47.658358159Z preceding
2023-05-28T17:24:47.658361375Z preceding
2023-05-28T17:24:47.658364060Z preceding
2023-05-28T17:24:47.658366665Z preceding
2023-05-28T17:24:47.658369821Z preceding
2023-05-28T17:24:47.658372837Z preceding
2023-05-28T17:24:47.658375712Z preceding
2023-05-28T17:24:47.658378748Z preceding
2023-05-28T17:24:47.658381703Z preceding
2023-05-28T17:24:47.658384739Z preceding
2023-05-28T17:24:47.658387665Z preceding
2023-05-28T17:24:47.658390640Z preceding
2023-05-28T17:24:47.658393676Z preceding
2023-05-28T17:24:47.658396591Z preceding
2023-05-28T17:24:47.658400078Z preceding
2023-05-28T17:24:47.658403073Z preceding
2023-05-28T17:24:47.658406079Z preceding
2023-05-28T17:24:47.658408864Z preceding
2023-05-28T17:24:47.658411810Z got SIGUSR2
2023-05-28T17:24:47.658414826Z got SIGUSR2
2023-05-28T17:24:47.658417791Z got SIGUSR2
2023-05-28T17:24:47.658420747Z got SIGUSR2
2023-05-28T17:24:47.658423712Z {'timestr': 'Sun May 28 17:24:41 2023', 'elapsed': '1.74', 'uphosts': '1', 'downhosts': '5', 'totalhosts': '6'}
2023-05-28T17:24:47.658426858Z {'hostnames': [{'name': '', 'type': ''}], 'addresses': {'ipv4': '10.0.0.50', 'mac': '02:42:0A:00:00:0F'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'arp-response'}, 'tcp': {22: {'state': 'closed', 'reason': 'reset', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}
2023-05-28T17:24:47.658430124Z preceding
2023-05-28T17:24:47.658433130Z preceding
2023-05-28T17:24:47.658435785Z preceding
2023-05-28T17:24:47.658438690Z preceding
2023-05-28T17:24:47.658441856Z preceding
2023-05-28T17:24:47.658444792Z preceding
2023-05-28T17:24:47.658447597Z preceding
2023-05-28T17:24:47.658450543Z preceding
2023-05-28T17:24:47.658453137Z got SIGUSR2
2023-05-28T17:24:47.658460020Z got SIGUSR2
2023-05-28T17:24:47.658463176Z got SIGUSR2
